name,geometry
Sugar Mountain,"<Point><coordinates>-120.332115,39.298954,0.0</coordinates></Point>"
Soda Springs,"<Point><coordinates>-120.384148,39.320419,0.0</coordinates></Point>"
Kirkwood,"<Point><coordinates>-120.073074,38.707829,0.0</coordinates></Point>"
Boreal Mountain Resort,"<Point><coordinates>-120.349068,39.336311,0.0</coordinates></Point>"
Tahoe Donner Downhill,"<Point><coordinates>-120.25576,39.361931,0.0</coordinates></Point>"
Squaw Valley,"<Point><coordinates>-120.237518,39.203339,0.0</coordinates></Point>"
Mt. Seymour,"<Point><coordinates>-122.969559,49.342255,0.0</coordinates></Point>"
Whitewater,"<Point><coordinates>-117.29496,49.478832,0.0</coordinates></Point>"
Hudson Bay Mountain,"<Point><coordinates>-127.079773,54.892406,0.0</coordinates></Point>"
Canada Olympic Park,"<Point><coordinates>-114.221535,51.081959,0.0</coordinates></Point>"
Castle Mountain,"<Point><coordinates>-114.192436,49.45652,0.0</coordinates></Point>"
Alyeska,"<Point><coordinates>-148.886719,61.015724,0.0</coordinates></Point>"
Snowbowl,"<Point><coordinates>-111.703926,35.330322,0.0</coordinates></Point>"
Sunrise Ski Park,"<Point><coordinates>-109.542732,33.998596,0.0</coordinates></Point>"
Arapahoe Basin,"<Point><coordinates>-105.87191,39.64119,0.0</coordinates></Point>"
Durango Mountain Resort,"<Point><coordinates>-107.881851,37.306828,0.0</coordinates></Point>"
Echo Mountain,"<Point><coordinates>-105.515442,39.681828,0.0</coordinates></Point>"
Eldora Mountain Resort,"<Point><coordinates>-105.563866,39.948307,0.0</coordinates></Point>"
Ski Cooper,"<Point><coordinates>-106.30278,39.360382,0.0</coordinates></Point>"
Steamboat Ski Area,"<Point><coordinates>-106.782677,40.474377,0.0</coordinates></Point>"
Loveland Ski Area,"<Point><coordinates>-105.893295,39.677864,0.0</coordinates></Point>"
Monarch Mountain,"<Point><coordinates>-106.314697,38.535275,0.0</coordinates></Point>"
Powderhorn Mtn,"<Point><coordinates>-108.141357,39.188095,0.0</coordinates></Point>"
Sol Vista Basin,"<Point><coordinates>-105.915413,40.069401,0.0</coordinates></Point>"
Sunlight Mountain Resort,"<Point><coordinates>-107.334053,39.547073,0.0</coordinates></Point>"
Wolf Creek,"<Point><coordinates>-106.795036,37.473225,0.0</coordinates></Point>"
Hidden Valley Resort,"<Point><coordinates>-79.127373,45.359863,0.0</coordinates></Point>"
Horseshoe Valley,"<Point><coordinates>-79.508057,44.625664,0.0</coordinates></Point>"
Kissing Bridge,"<Point><coordinates>-78.647034,42.595428,0.0</coordinates></Point>"
Mount St. Louis Moonstone,"<Point><coordinates>-79.612885,44.695992,0.0</coordinates></Point>"
Le Massif,"<Point><coordinates>-70.55291,47.333645,0.0</coordinates></Point>"
Stoneham,"<Point><coordinates>-71.378922,47.030823,0.0</coordinates></Point>"
